Screaming Circuits SMD component position file.,,,,
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.,,,,
,,,,
"Centroid Data for pc board: ""Beatnote_PLL.brd"" as of: 3/9/16 9:01 AM",,,,
Measurements are in inches. Comma delimited,,,,
Only surface mount components included,,,,
,,,,
RefDes,Layer,LocationX,LocationY,Rotation
BEAT_IN,Top,5,2.26,180
C1,Top,3.75,2.525,270
C2,Top,3.655,2.18,180
C3,Top,3.825,2.355,90
C4,Top,3.63,2.14,180
C5,Top,3.865,2.355,90
C6,Top,3.75,2.675,270
C7,Top,3.69,2.02,270
C8,Top,3.75,2.1,270
C9,Top,2.895,2.265,180
C10,Top,3.035,2.455,90
C11,Top,3.035,2.245,270
C12,Top,0.68,2.65,270
C13,Top,1.57,2.535,270
C14,Top,4.29,2.09,0
C15,Top,4.27,2.05,0
C16,Top,3.895,1.87,270
C17,Top,3.94,1.87,270
C18,Top,4.61,1.775,0
C19,Top,4.62,1.835,0
C20,Top,4.295,1.605,270
C21,Top,4.245,1.575,270
C22,Top,0.465,1.68,180
C23,Top,0.465,1.725,180
C24,Top,3.49,2,270
C25,Top,3.46,2.17,0
C26,Top,3.94,2.52,90
C27,Top,2.02,1.56,270
C28,Top,1.97,1.56,270
C29,Top,4.4,1.985,0
C30,Top,4.43,2.035,0
C31,Top,0.375,1.89,270
C32,Top,1.06,1.63,0
C33,Top,1.06,1.68,0
C34,Top,0.46,1.355,0
C35,Top,0.46,1.405,0
C36,Top,0.075,1.17,270
C37,Top,0.125,1.18,270
C38,Top,3.335,1.41,180
C39,Top,3.335,1.36,180
C40,Top,3.645,1.585,90
C41,Top,3.69,1.6,90
C42,Top,2.25,2.325,270
C43,Top,1.36,2.045,90
C44,Top,2.57,2.05,270
C45,Top,2.78,2.41,90
C46,Top,2.45,1.98,270
C47,Top,2.54,2.41,90
C48,Top,2.35,1.74,0
C49,Top,2.355,1.79,0
C50,Top,4.55,2.05,270
CA3,Top,4.47,2.26,0
CA4,Top,4.47,2.34,0
CA5,Top,4.18,2.18,180
CA6,Top,4.33,2.22,90
CP1,Bottom,3.78,2.01,270
CP2,Bottom,3.855,2.09,0
CP3,Top,4.18,1.675,0
CP4,Top,4.64,1.55,270
CP5,Bottom,0.765,1.475,0
D1,Top,2.83,2.415,90
D2,Top,2.62,2.11,270
IC1,Top,4.065,2.02,270
IC2,Top,4.405,1.75,270
IC3,Top,3.545,1.44,90
IC4,Top,0.76,1.705,90
IC5,Top,0.25,1.325,270
IC6,Top,2.02,2.62,0
IC7,Top,2.66,2.31,180
IC8,Top,2.2,1.62,90
IC10,Top,1.13,2.39,0
IC11,Top,2.45,2.15,0
IC20,Top,2.975,2.35,270
L1,Top,3.94,2.37,270
L2,Top,3.6,2.04,180
L3,Top,3.5,2.1,180
L4,Top,4.05,2.22,0
L5,Top,4.44,2.09,0
R1,Top,3.725,2.6,0
R11,Top,0.41,2,0
R22,Top,3.225,2.605,270
RA1,Top,4.25,2.415,90
RA2,Top,4.39,2.3,270
REFIN,Top,3.75,3,270
RP1,Bottom,3.855,2.03,180
RP2,Top,4.005,1.775,180
RP3,Top,4.26,1.965,90
RP4,Top,4.355,1.935,180
RP5,Top,4.18,1.775,0
RP6,Top,3.2,1.4,270
RP7,Top,4.18,1.725,180
RP8,Bottom,4.405,1.75,180
RP9,Top,4.61,1.7,270
RP10,Top,4.475,1.575,0
RP11,Top,4.58,1.55,90
RP12,Top,1.06,1.78,180
RP13,Top,0.695,2.05,270
RP14,Top,4.735,1.52,0
RP15,Top,0.75,1.995,270
RP16,Top,0.45,1.275,270
RP17,Top,2.2,1.4,270
RP18,Top,1.06,1.73,0
RP19,Top,3.55,1.58,0
RP20,Top,3.74,1.44,90
RP21,Top,2.215,1.755,0
RP22,Top,0.295,1.175,180
RSET,Top,3.785,1.955,270
RTH,Top,4.335,2.395,270
RVAR,Top,4.15,2.385,0
U1,Top,3.75,2.25,90
U2,Top,4.24,2.28,0
