Qty,Value,Part Num,Package,Parts
2,,*,1X02,"JP3, JP4"
1,,*,1X03,JP2
1,,*,1X04,JP6
2,0R,P0.0JCT-ND,R0402,"RP19, RP21"
3,1-227161-7,A32260-ND,AMP_227161,"CURR, ERR, PIEZ"
4,1k,P1.00KLCT-ND,R0402,"RP12, RP13, RP15, RP18"
1,1k5,P1.5KDCCT-ND,R0402,RP11
2,1nF,445-2651-1-ND,C0402K,"C1, C6"
2,1uF,399-3678-1-ND,CT3216,"C42, C43"
20,1uF,445-9066-1-ND,C0402K,"C4, C5, C8, C10, C14, C16, C19, C21, C23, C28, C30, C31, C32, C35, C36, C39, C40, C46, C47, C48"
1,2.2uF,445-4999-1-ND,C0402K,C11
1,2x3,609-3210-ND,2X03,JP5
4,3k3,P3.3KDCCT-ND,R0402,"R22, RP3, RP4, RSET"
1,10k,83A1A-B24-J15L-ND,BOURNS83,U$4
2,10k,TNP10.0KDACT-ND,R0402,"RA1, RP8"
17,10nF,445-6900-1-ND,C0402K,"C2, C3, C7, C15, C17, C18, C20, C22, C27, C29, C33, C34, C37, C38, C41, C49, CP5"
4,10uF,445-11516-1-ND,C0805,"C24, C25, C26, C50"
1,33nF,445-13919-1-ND,C0402K,CP1
1,50R,P49.9LCT-ND,R0402,R1
6,56R,P56.0LCT-ND,R0402,"RP6, RP9, RP16, RP17, RP20, RP22"
2,62k,P62.0KLCT-ND,R0402,"RTH, RVAR"
1,78L05F,MC78L05ACHXCT-ND,SOT89,IC7
1,100R,P100LCT-ND,R0402,RA2
1,100k,3006P-104LF-ND,3006P,U$2
1,100k,P100KDCCT-ND,R0402,RP10
7,100nF,445-7385-1-ND,C0402K,"C9, C44, C45, CA3, CA4, CA5, CA6"
2,100pF,445-1247-1-ND,C0402K,"CP2, CP3"
1,150R,P150DCCT-ND,R0402,RP1
1,150pF,445-7013-1-ND,C0402K,CP4
1,180R,P180LCT-ND,R0402,R11
2,220uF,PCE3955CT-ND,PANASONIC_F,"C12, C13"
1,300R,P300DCCT-ND,R0402,RP14
3,510R,P510LCT-ND,R0402,"RP2, RP5, RP7"
1,AD8065,AD8065ARZ-REEL7CT-ND,SO08,IC1
1,ADF4107_QFN,*,QFN20,U$1
5,BLM18AG102SN1D,490-1015-1-ND,SM0603,"L1, L2, L3, L4, L5"
3,BUF634U,296-24142-1-ND,SO08,"IC3, IC5, IC8"
1,L7905,LM79L05ACZFS-ND,SOT-89,IC11
1,L7912,MC7912CD2TGOS-ND,TO223-3,IC10
1,LK112SM33TR,497-6450-1-ND,SOT-23-5,IC20
1,LM340S-12,LM340S-12/NOPB-ND,TO263-3,IC6
1,ONET1191P,296-20765-1-ND,QNF16,U$7
1,OP270W,OP270GSZ-ND,SO16W,IC4
1,OPA847,296-15171-5-ND,SO08,IC2
1,Relay 9002-12-01,306-1061-ND,6-SIP,K1
2,SCHOTTKY,568-7397-1-ND,SOD523,"D1, D2"
2,SMA-SMA-50-OHM,J502-ND,J502-SMA,"BEAT_IN, REFIN"
